Name,SecId,ISIN,"Inception 
Date","Monthly Return 
2022-10 
ZAR","Return (Day to Day) 
2022-10-01 
to 2022-11-01 
ZAR","Daily Return Index 
2022-09-30 
ZAR","Daily Return Index 
2022-10-01 
ZAR","Daily Return Index 
2022-10-02 
ZAR","Daily Return Index 
2022-10-03 
ZAR","Daily Return Index 
2022-10-04 
ZAR","Daily Return Index 
2022-10-05 
ZAR","Daily Return Index 
2022-10-06 
ZAR","Daily Return Index 
2022-10-07 
ZAR","Daily Return Index 
2022-10-08 
ZAR","Daily Return Index 
2022-10-09 
ZAR","Daily Return Index 
2022-10-10 
ZAR","Daily Return Index 
2022-10-11 
ZAR","Daily Return Index 
2022-10-12 
ZAR","Daily Return Index 
2022-10-13 
ZAR","Daily Return Index 
2022-10-14 
ZAR","Daily Return Index 
2022-10-15 
ZAR","Daily Return Index 
2022-10-16 
ZAR","Daily Return Index 
2022-10-17 
ZAR","Daily Return Index 
2022-10-18 
ZAR","Daily Return Index 
2022-10-19 
ZAR","Daily Return Index 
2022-10-20 
ZAR","Daily Return Index 
2022-10-21 
ZAR","Daily Return Index 
2022-10-22 
ZAR","Daily Return Index 
2022-10-23 
ZAR","Daily Return Index 
2022-10-24 
ZAR","Daily Return Index 
2022-10-25 
ZAR","Daily Return Index 
2022-10-26 
ZAR","Daily Return Index 
2022-10-27 
ZAR","Daily Return Index 
2022-10-28 
ZAR","Daily Return Index 
2022-10-29 
ZAR","Daily Return Index 
2022-10-30 
ZAR","Daily Return Index 
2022-10-31 
ZAR","Daily Return Index 
2022-11-01 
ZAR",P/B Ratio (TTM) (Long),P/B Ratio (TTM) (Short),P/C Ratio (TTM) (Long),P/C Ratio (TTM) (Short),P/E Ratio (TTM) (Long),"Dividend 
YTD",Dividend Yield (Long)
SIM Small Cap R,F000002CYS,ZAE000021390,02/06/1997,4.7399,5.7512,116.0886,116.0886,116.0886,116.6056,119.7974,118.9695,119.4081,118.6735,118.6735,118.6735,118.2482,117.4298,117.4318,117.3928,118.8105,118.8105,118.8105,118.9906,119.3586,118.0764,117.4964,117.6637,117.6637,117.6637,118.0645,119.1717,120.1817,121.2865,121.4843,121.4843,121.4843,121.5911,122.7652,1.3,,6.27,,10.66,1.18,0.04
SIM Top Choice Equity A1,F000002CWM,ZAE000083317,18/08/2006,3.6867,5.558,62.2528,62.2528,62.2528,62.5937,64.1866,64.1814,64.6087,63.9958,63.9958,63.9958,63.8875,63.3549,63.1053,62.5724,63.7896,63.7896,63.7896,64.0553,65.0957,63.8643,62.8556,63.1912,63.1912,63.1912,62.9018,62.9007,64.435,64.9157,64.7889,64.7889,64.7889,64.5479,65.7128,1.51,,8.06,,13.72,0.68,0.04
SIM Top Choice Equity B1,F000002S44,ZAE000083325,18/08/2006,3.7802,5.6561,78.5307,78.5307,78.5307,78.9677,80.9795,80.9752,81.517,80.7467,80.7467,80.7467,80.6169,79.9475,79.6349,78.9645,80.5029,80.5029,80.5029,80.845,82.1606,80.6086,79.3376,79.7637,79.7637,79.7637,79.405,79.4058,81.3451,81.9542,81.7965,81.7965,81.7965,81.4992,82.9724,1.51,,8.06,,13.72,0.91,0.04
SIM Top Choice Equity B2,F000002S45,ZAE000083333,18/08/2006,3.7243,5.5985,66.0869,66.0869,66.0869,66.4517,68.1444,68.1394,68.5937,67.9438,67.9438,67.9438,67.8309,67.2667,67.0025,66.4378,67.7303,67.7303,67.7303,68.0149,69.1208,67.8132,66.7424,67.0993,67.0993,67.0993,66.7947,66.7947,68.4242,68.9356,68.8017,68.8017,68.8017,68.5481,69.7868,1.51,,8.06,,13.72,0.77,0.04
SIM Top Choice Equity B3,F000014LNW,ZAE000282174,09/12/2019,3.7699,5.6454,45.7324,45.7324,45.7324,45.9864,47.1578,47.1552,47.4706,47.0218,47.0218,47.0218,46.9459,46.5559,46.3737,45.9831,46.8789,46.8789,46.8789,47.0776,47.8435,46.9397,46.1995,46.4473,46.4473,46.4473,46.2381,46.2384,47.3675,47.7221,47.6301,47.6301,47.6301,47.4565,48.3142,1.51,,8.06,,13.72,0.89,0.04
SIM Top Choice Equity B4,F000002S47,ZAE000100137,02/07/2007,3.7019,5.5736,63.7159,63.7159,63.7159,64.0658,65.6964,65.6914,66.1291,65.5021,65.5021,65.5021,65.3919,64.8472,64.5921,64.0469,65.2931,65.2931,65.2931,65.5658,66.6312,65.371,64.3387,64.6826,64.6826,64.6826,64.3873,64.3864,65.9573,66.4495,66.3203,66.3203,66.3203,66.0746,67.2672,1.51,,8.06,,13.72,0.72,0.04
SIM Top Choice Equity B5,F000002S48,ZAE000112330,02/01/2008,3.7338,5.607,66.1096,66.1096,66.1096,66.4748,68.1675,68.1631,68.6179,67.9679,67.9679,67.9679,67.8558,67.2912,67.0271,66.462,67.7561,67.7561,67.7561,68.0409,69.1461,67.839,66.7685,67.1262,67.1262,67.1262,66.8219,66.8216,68.4528,68.9645,68.8309,68.8309,68.8309,68.5781,69.8164,1.51,,8.06,,13.72,0.81,0.04
SIM Top Choice Equity B6,F000014Z1J,ZAE000285334,20/03/2020,3.7155,5.5877,44.8006,44.8006,44.8006,45.0467,46.1933,46.1898,46.4977,46.057,46.057,46.057,45.9803,45.5978,45.4191,45.0358,45.9117,45.9117,45.9117,46.104,46.8538,45.9677,45.2417,45.4832,45.4832,45.4832,45.276,45.2755,46.3803,46.7269,46.6372,46.6372,46.6372,46.4652,47.3039,1.51,,8.06,,13.72,0.75,0.04
SIS Equity,F00000UISD,ZAE000019501,12/07/2002,4.7547,6.3523,21.2643,21.2643,21.2643,21.3381,21.8297,21.7734,21.8703,21.6297,21.6297,21.6297,21.6194,21.4578,21.3843,21.2483,21.7252,21.7252,21.7252,21.7769,22.1581,21.7505,21.5371,21.5821,21.5821,21.5821,21.5717,21.6482,22.0784,22.242,22.1713,22.1713,22.1713,22.2754,22.6151,1.74,,9.92,,13.39,0.18,0.03
SIS Equity FoF T,F00000ZXP4,ZAE000252342,30/11/2017,4.5126,6.0488,2.7799,2.7799,2.7799,2.7857,2.8583,2.8516,2.8732,2.8428,2.8428,2.8428,2.8422,2.8205,2.8095,2.7916,2.8462,2.8462,2.8462,2.8583,2.9066,2.847,2.8202,2.8276,2.8276,2.8276,2.8134,2.8193,2.878,2.9057,2.891,2.891,2.891,2.9054,2.9481,1.27,,6.71,,9.81,0.01,0.05
SIS International Growth FoF,F00000UISS,ZAE000019550,01/07/2003,7.1165,5.3471,6.3076,6.3076,6.3076,6.2899,6.2364,6.4258,6.4855,6.6123,6.6123,6.6123,6.5172,6.4431,6.4322,6.4903,6.3833,6.3833,6.3833,6.3455,6.3976,6.5404,6.5022,6.5202,6.5202,6.5202,6.5292,6.5889,6.5218,6.5517,6.6351,6.6351,6.6351,6.7565,6.6448,2.5,,12.94,,18.71,,0.02
SIS International Growth FoF B6,F00000XYHK,ZAE000214300,29/01/2016,7.069,5.2997,6.0532,6.0532,6.0532,6.0359,5.9846,6.1662,6.2235,6.345,6.345,6.345,6.2535,6.1823,6.1717,6.2273,6.1246,6.1246,6.1246,6.0882,6.138,6.2749,6.2382,6.2555,6.2555,6.2555,6.2638,6.3209,6.2564,6.2851,6.365,6.365,6.365,6.4811,6.374,2.5,,12.94,,18.71,,0.02
SIS International Growth FoF T,F000011KME,ZAE000263349,31/10/2018,7.0706,5.3001,6.0829,6.0829,6.0829,6.0656,6.014,6.1965,6.2541,6.3762,6.3762,6.3762,6.2842,6.2127,6.202,6.2579,6.1547,6.1547,6.1547,6.1181,6.1681,6.3057,6.2689,6.2862,6.2862,6.2862,6.2946,6.352,6.2872,6.316,6.3963,6.3963,6.3963,6.513,6.4053,2.5,,12.94,,18.71,,0.02
SIS Property Equity,F00000UISV,ZAE000019543,22/07/1998,10.2974,11.1993,12.665,12.665,12.665,12.6188,12.8691,12.7752,12.8884,12.9539,12.9539,12.9539,13.2351,13.0803,13.0874,13.0305,13.2986,13.2986,13.2986,13.3818,13.6986,13.6301,13.7255,13.5128,13.5128,13.5128,13.5443,13.627,13.7737,14.1773,14.0758,14.0758,14.0758,13.9692,14.0834,0.62,,10.77,,8.53,0.11,0.1
SMM Equity Index B1,F000002S1A,ZAE000077137,03/07/2006,4.9693,5.9111,44.7408,44.7408,44.7408,45.0185,46.3065,45.8624,46.1088,46.0445,46.0445,46.0445,45.4898,45.4581,45.3554,45.2609,45.1712,45.1712,45.1712,46.536,46.5522,46.1801,46.1369,45.9422,45.9422,45.9422,45.2868,45.945,46.9366,47.1602,46.7856,46.7856,46.7856,46.9641,47.3854,1.43,,7.79,,11.03,0.58,0.04
SMM Equity Index B5,F00000PD6F,ZAE000174702,02/01/2013,4.918,5.8579,34.0032,34.0032,34.0032,34.2127,35.1909,34.8529,35.0396,34.9902,34.9902,34.9902,34.5671,34.5425,34.4639,34.3915,34.3228,34.3228,34.3228,35.3582,35.3699,35.0867,35.0533,34.9047,34.9047,34.9047,34.4051,34.9047,35.6575,35.8269,35.5418,35.5418,35.5418,35.6755,35.9951,1.43,,7.79,,11.03,0.49,0.04
SMM Equity Index B6,F00000YOL5,ZAE000224986,12/09/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.43,,7.79,,11.03,,0.04
SMM Institutional Momt Eq Fd B1,F00001CHSH,ZAE000299111,08/06/2021,6.0426,7.0337,84.6936,84.6936,84.6936,85.2606,87.5663,87.1466,87.658,87.5495,87.5495,87.5495,86.7498,86.621,86.5197,86.5056,86.5276,86.5276,86.5276,88.7152,89.0053,88.0857,87.807,87.7488,87.7488,87.7488,86.9906,88.0813,89.828,90.3641,89.5855,89.5855,89.5855,89.8113,90.6506,1.53,,9.67,,11.18,1.58,0.04
SMM Institutional Momt Eq Fd B10,F00000JO70,ZAE000148102,01/07/2010,6.1083,7.1026,104.194,104.194,104.194,104.8957,107.7323,107.2196,107.852,107.7218,107.7218,107.7218,106.7442,106.5887,106.4661,106.4509,106.4807,106.4807,106.4807,109.1776,109.5378,108.4107,108.0694,108.0002,108.0002,108.0002,107.0721,108.4155,110.568,111.229,110.2737,110.2737,110.2737,110.5585,111.5945,1.53,,9.67,,11.18,1.93,0.04
SMM Institutional Value Equity Fund B1,F00001CHSF,ZAE000299129,08/06/2021,4.1595,4.8192,53.6033,53.6033,53.6033,53.9896,55.4516,54.9473,55.1759,55.0439,55.0439,55.0439,54.4008,54.2994,54.1113,54.1258,53.8955,53.8955,53.8955,55.2801,55.3399,54.6482,54.5809,54.5018,54.5018,54.5018,53.8966,54.5365,55.6188,55.9787,55.6764,55.6764,55.6764,55.8329,56.1865,1.17,,5.65,,9.54,0.97,0.05
SMM Institutional Value Equity Fund B3,F000005O6E,ZAE000051660,01/07/2009,4.2143,4.8764,80.3218,80.3218,80.3218,80.9054,83.0963,82.3429,82.6868,82.4904,82.4904,82.4904,81.5311,81.3801,81.0993,81.123,80.7791,80.7791,80.7791,82.859,82.9499,81.9142,81.8152,81.6973,81.6973,81.6973,80.7949,81.754,83.376,83.917,83.4666,83.4666,83.4666,83.7068,84.2386,1.17,,5.65,,9.54,1.18,0.05
SMM Property Fund B1,F00001CIAA,ZAE000299137,08/06/2021,10.4085,11.1177,8.1368,8.1368,8.1368,8.1343,8.294,8.2326,8.3053,8.3347,8.3347,8.3347,8.5018,8.4097,8.4243,8.379,8.539,8.539,8.539,8.5942,8.8043,8.7646,8.8255,8.6897,8.6897,8.6897,8.6977,8.7455,8.8458,9.1076,9.0472,9.0472,9.0472,8.9837,9.0414,0.71,,12.04,,7.5,0.28,0.08
SMMI Equity B1,F000002S1D,ZAE000077160,03/07/2006,4.7071,6.051,42.653,42.653,42.653,42.9465,44.1557,43.9266,44.1106,43.8524,43.8524,43.8524,43.5649,43.3487,43.2407,43.0162,43.3842,43.3842,43.3842,44.1061,44.5054,43.7609,43.5167,43.545,43.545,43.545,43.3526,43.6228,44.5287,44.8281,44.5617,44.5617,44.5617,44.6607,45.2339,1.48,,7.96,,11.29,0.42,0.04
SMMI Equity B2,F00001CHSG,ZAE000299095,08/06/2021,4.6461,5.9859,24.383,24.383,24.383,24.5489,25.239,25.1079,25.213,25.0642,25.0642,25.0642,24.8988,24.7746,24.7125,24.5838,24.7933,24.7933,24.7933,25.2045,25.4323,25.0072,24.8676,24.8833,24.8833,24.8833,24.7719,24.9258,25.4433,25.6139,25.4607,25.4607,25.4607,25.5158,25.8425,1.48,,7.96,,11.29,0.32,0.04
SMMI Equity B8,F00000JO77,ZAE000148151,01/07/2010,4.5945,5.9335,30.2052,30.2052,30.2052,30.4099,31.2651,31.1018,31.2309,31.047,31.047,31.047,30.8402,30.6861,30.6087,30.4488,30.708,30.708,30.708,31.2158,31.4973,30.9694,30.7955,30.8144,30.8144,30.8144,30.6751,30.8653,31.5051,31.7158,31.5262,31.5262,31.5262,31.593,31.9974,1.48,,7.96,,11.29,0.25,0.04
Southern Right Cptl BCI GQG EM Eq FF W,F00001DS0O,ZAE000307641,20/04/2022,4.9394,4.2411,0.9738,0.9738,0.9738,0.9786,0.9881,1.0173,1.0304,1.0393,1.0393,1.0393,1.0318,1.0175,1.0083,1.0124,1.0037,1.0037,1.0037,0.9892,0.9992,1.0177,1.0096,1.025,1.025,1.025,1.0508,1.0124,0.9954,0.986,1.0083,1.0083,1.0083,1.0219,1.0151,2.77,,8.23,,13.1,,0.03
Southern Right Cptl BCI GQG Glb Eq FF A,F00001E0BP,ZAE000307658,30/05/2022,10.3583,11.0588,0.9992,0.9992,0.9992,0.9881,1.0092,1.0527,1.057,1.0613,1.0613,1.0613,1.0433,1.0293,1.0255,1.0295,1.0431,1.0431,1.0431,1.0155,1.0371,1.0545,1.0464,1.0531,1.0531,1.0531,1.0899,1.0783,1.0729,1.076,1.0882,1.0882,1.0882,1.1027,1.1097,6.51,,15.97,,26.32,,0.01
Southern Right Cptl BCI GQG Glb Eq FF B,F00001E0BO,ZAE000307666,31/05/2022,10.3662,11.0666,0.9994,0.9994,0.9994,0.9883,1.0094,1.0529,1.0572,1.0615,1.0615,1.0615,1.0436,1.0295,1.0257,1.0297,1.0433,1.0433,1.0433,1.0157,1.0373,1.0548,1.0467,1.0534,1.0534,1.0534,1.0901,1.0785,1.0731,1.0763,1.0884,1.0884,1.0884,1.103,1.11,6.51,,15.97,,26.32,,0.01
SPW Global High Quality FF A1,F00000Z700,ZAE000246005,03/07/2017,5.8908,4.2143,14.7138,14.7138,14.7138,14.6352,14.6452,15.1759,15.1741,15.2718,15.2718,15.2718,14.983,14.8693,14.8401,14.9579,14.8684,14.8684,14.8684,14.716,15.0549,15.2727,15.1551,15.2251,15.2251,15.2251,15.2671,15.3254,15.2734,15.3103,15.2206,15.2206,15.2206,15.5806,15.3339,2.94,,14.44,,26.65,,0.02
Standard STANLIB Equity B1,F00000XVKU,ZAE000223574,26/09/2016,4.7789,6.4304,1.3072,1.3072,1.3072,1.3139,1.3459,1.3505,1.357,1.3486,1.3486,1.3486,1.345,1.3365,1.3296,1.3214,1.342,1.342,1.342,1.3493,1.3726,1.3508,1.3347,1.3362,1.3362,1.3362,1.336,1.3319,1.3591,1.375,1.3701,1.3701,1.3701,1.3697,1.3913,1.53,,8.41,,11.8,0.02,0.04
Standard STANLIB Equity B2,F00000XVKV,ZAE000224333,26/09/2016,4.8877,6.5371,1.4294,1.4294,1.4294,1.4369,1.4718,1.4768,1.484,1.4749,1.4749,1.4749,1.4711,1.4619,1.4544,1.4456,1.4681,1.4681,1.4681,1.4762,1.5017,1.478,1.4605,1.4622,1.4622,1.4622,1.4621,1.4577,1.4874,1.5048,1.4995,1.4995,1.4995,1.4993,1.5228,1.53,,8.41,,11.8,0.03,0.04
Standard STANLIB Property B1,F00000XVLA,ZAE000223566,26/09/2016,10.2182,10.9687,0.6461,0.6461,0.6461,0.6458,0.6585,0.6536,0.6592,0.6623,0.6623,0.6623,0.6756,0.6679,0.668,0.6655,0.6788,0.6788,0.6788,0.6829,0.6986,0.6947,0.7001,0.6893,0.6893,0.6893,0.6904,0.6941,0.7024,0.7231,0.7181,0.7181,0.7181,0.7121,0.717,0.67,,12.58,,7.88,0.02,0.09
Standard STANLIB Property B2,F00000XVLB,ZAE000224325,26/09/2016,10.3469,11.1007,0.7041,0.7041,0.7041,0.7038,0.7177,0.7124,0.7185,0.722,0.722,0.722,0.7366,0.7281,0.7283,0.7256,0.7401,0.7401,0.7401,0.7447,0.7618,0.7576,0.7635,0.7518,0.7518,0.7518,0.7531,0.7572,0.7662,0.7888,0.7833,0.7833,0.7833,0.777,0.7823,0.67,,12.58,,7.88,0.02,0.09
STANLIB Core Multi Style Equity A,F000015M19,ZAE000284816,02/12/2020,5.7961,6.3672,1.2335,1.2335,1.2335,1.2419,1.2736,1.2636,1.2659,1.2659,1.2659,1.2659,1.2519,1.2495,1.2483,1.251,1.2463,1.2463,1.2463,1.2847,1.2838,1.2773,1.2772,1.2766,1.2766,1.2766,1.2671,1.2851,1.3114,1.3133,1.3017,1.3017,1.3017,1.305,1.3121,,,,,,0.01,0.05
STANLIB Core Multi Style Equity B1,F000015M1A,ZAE000284824,02/12/2020,5.8109,6.3815,1.2373,1.2373,1.2373,1.2458,1.2776,1.2675,1.2698,1.2699,1.2699,1.2699,1.2558,1.2534,1.2522,1.255,1.2502,1.2502,1.2502,1.2888,1.2879,1.2813,1.2813,1.2806,1.2806,1.2806,1.2712,1.2892,1.3156,1.3176,1.3059,1.3059,1.3059,1.3092,1.3163,,,,,,0.01,0.05
STANLIB Core Multi Style Equity B2,F000015M1B,ZAE000284832,23/11/2020,5.8493,6.4224,1.2481,1.2481,1.2481,1.2567,1.2888,1.2787,1.281,1.2811,1.2811,1.2811,1.2669,1.2645,1.2634,1.2661,1.2613,1.2613,1.2613,1.3003,1.2994,1.2928,1.2928,1.2922,1.2922,1.2922,1.2826,1.3008,1.3275,1.3295,1.3177,1.3177,1.3177,1.3212,1.3283,,,,,,0.01,0.05
STANLIB Diversified Equity B2,F0000161HU,ZAE000292256,02/11/2020,4.9076,6.671,1.3605,1.3605,1.3605,1.3681,1.4034,1.3995,1.4093,1.3972,1.3972,1.3972,1.3967,1.3855,1.38,1.37,1.3961,1.3961,1.3961,1.4031,1.4255,1.3988,1.3871,1.3882,1.3882,1.3882,1.3891,1.3922,1.4196,1.4336,1.4268,1.4268,1.4268,1.4273,1.4513,1.5,0.88,8.31,20.16,12.2,0.03,0.04
STANLIB Enhanced Multi Style Eq A1,F00000WWSY,ZAE000214961,11/02/2016,6.2211,6.3918,1.6748,1.6748,1.6748,1.6886,1.7289,1.7169,1.7149,1.7149,1.7149,1.7149,1.6964,1.6889,1.6902,1.7034,1.6943,1.6943,1.6943,1.747,1.7448,1.7317,1.7366,1.7455,1.7455,1.7455,1.7444,1.7641,1.7912,1.7921,1.7756,1.7756,1.7756,1.779,1.7818,1.59,,9.55,,10.62,0.07,0.05
STANLIB Enhanced Multi Style Eq B1,F00000WWSZ,ZAE000214946,11/02/2016,6.1912,6.3608,1.6864,1.6864,1.6864,1.7003,1.7406,1.7286,1.7266,1.7266,1.7266,1.7266,1.7081,1.7006,1.7019,1.7151,1.706,1.706,1.706,1.7587,1.7565,1.7435,1.7484,1.7573,1.7573,1.7573,1.7562,1.7759,1.803,1.8039,1.7875,1.7875,1.7875,1.7908,1.7937,1.59,,9.55,,10.62,0.07,0.05
STANLIB Enhanced Multi Style Eq B2,F00000WWT0,ZAE000214938,11/02/2016,6.1606,6.3294,1.625,1.625,1.625,1.6382,1.6768,1.6653,1.6634,1.6635,1.6635,1.6635,1.6458,1.6386,1.6399,1.6525,1.6438,1.6438,1.6438,1.6943,1.6921,1.6797,1.6844,1.6929,1.6929,1.6929,1.6919,1.7107,1.7367,1.7376,1.7218,1.7218,1.7218,1.7251,1.7278,1.59,,9.55,,10.62,0.07,0.05
STANLIB Enhanced Multi Style Eq B3,F00000WWT1,ZAE000214953,11/02/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.59,,9.55,,10.62,0.01,0.05
STANLIB Equity B2,F000010Q4V,ZAE000252896,02/01/2018,5.2882,6.0531,325.0234,325.0234,325.0234,325.1751,331.455,335.0277,337.056,335.6696,335.6696,335.6696,332.9695,330.7623,329.4744,328.5151,331.9964,331.9964,331.9964,331.9895,337.8657,334.6866,332.3246,332.9849,332.9849,332.9849,332.4187,334.2648,339.3538,340.9109,339.9537,339.9537,339.9537,342.2112,344.6974,2.05,0.88,11.62,20.16,13.59,5.74,0.04
STANLIB Equity B4,F000002SAP,ZAE000122081,30/06/2008,5.226,5.9902,356.7808,356.7808,356.7808,356.9227,363.8235,367.7457,369.9687,368.4346,368.4346,368.4346,365.4383,363.0014,361.576,360.5121,364.3339,364.3339,364.3339,364.3008,370.7572,367.251,364.6438,365.3617,365.3617,365.3617,364.7132,366.7358,372.3262,374.0305,372.9687,372.9687,372.9687,375.4262,378.1528,2.05,0.88,11.62,20.16,13.59,4.23,0.04
